Titles,Years,Rattings,Genre
Africa Screams,1949,6.3 / 10,"['Action', 'Adventure']"
The Lockdown,2024,6.3 / 10,['Action']
The Supremes at Earl's All-You-Can-Eat,2024,6.3 / 10,"['Comedy', 'Drama']"
Garage Sale Mystery: The Wedding Dress,2015,6.3 / 10,"['Crime', 'Drama']"
Harold and the Purple Crayon,2024,6.3 / 10,"['Adventure', 'Animation']"
Flower Shop Mystery: Mum's the Word,2016,6.3 / 10,"['Crime', 'Mystery']"
Garage Sale Mystery: All That Glitters,2014,6.3 / 10,"['Crime', 'Drama']"
Kinds of Kindness,2024,6.3 / 10,"['Comedy', 'Drama']"
Eddie - Strongman,2015,6.3 / 10,['Documentary']
[FR] The Prodigies,2011,6.3 / 10,"['Action', 'Animation']"
Queen of Blood,1966,6.3 / 10,"['Horror', 'Sci-Fi']"
The Divergent Series: Insurgent - Shatter Reality,2015,6.3 / 10,['Action']
Simon,1980,6.3 / 10,"['Comedy', 'Sci-Fi']"
The 5th Quarter,2010,6.3 / 10,"['Biography', 'Drama']"
Kiss at Pine Lake,2012,6.3 / 10,"['Comedy', 'Romance']"
The 7 Adventures of Sinbad,2010,6.3 / 10,"['Action', 'Adventure']"
The Great Santini,1979,6.3 / 10,['Drama']
K-Shop,2016,6.3 / 10,"['Crime', 'Horror']"
Goodbye Charlie,1964,6.3 / 10,"['Comedy', 'Fantasy']"
Hostile Dimensions,2023,6.3 / 10,"['Horror', 'Sci-Fi']"
Radical,2023,6.3 / 10,"['Action', 'Drama']"
[TE] Kalki 2898 AD,2024,6.3 / 10,"['Action', 'Adventure']"
The Supremes at Earl's All-You-Can-Eat,2024,6.3 / 10,"['Comedy', 'Drama']"
Tahoe Joe 2: The Sierra Nevada Bigfoot Conspiracy,2024,6.3 / 10,['Horror']
My Son Hunter,2022,6.3 / 10,"['Biography', 'Comedy']"
Rampage,1987,6.3 / 10,"['Drama', 'Thriller']"
Tòkunbò,2024,6.3 / 10,['Action']
Someone Like You,2024,6.3 / 10,['Romance']
[IT] Patagonia,2023,6.3 / 10,['Drama']
[NL] Descending the Mountain,2021,6.3 / 10,['Documentary']
Homicide,1991,6.3 / 10,"['Action', 'Crime']"
Con Queens,2024,6.3 / 10,['Drama']
I Saw the TV Glow,2024,6.3 / 10,"['Drama', 'Horror']"
[CN] Shaolin Prince,1982,6.3 / 10,"['Action', 'Comedy']"
Overlord,2018,6.3 / 10,"['Action', 'Adventure']"
[DA] Better Times,2023,6.3 / 10,"['Comedy', 'Drama']"
Election,1999,6.3 / 10,"['Action', 'Comedy']"
Svennis,2024,6.3 / 10,['Documentary']
The Killer,2024,6.3 / 10,['Action']
Witch,2024,6.3 / 10,"['Fantasy', 'History']"
[RO] Europa Passage,2022,6.3 / 10,['Documentary']
[SR] The Eclipse,2022,6.3 / 10,['Documentary']
[FR] Sidonie in Japan,2023,6.3 / 10,"['Drama', 'Romance']"
[HR] Suma summarum,2010,6.3 / 10,"['Comedy', 'Thriller']"
Longlegs,2024,6.3 / 10,"['Crime', 'Horror']"
Return of the Living Dead: Necropolis,2005,6.3 / 10,"['Action', 'Comedy']"
I Heart Robots,2024,6.3 / 10,"['Action', 'Adventure']"
Cameron Esposito: Marriage Material,2016,6.3 / 10,['Comedy']
Nelly Knows Mysteries: A Fatal Engagement,2024,6.3 / 10,"['Comedy', 'Mystery']"
[KO] Brave Citizen,2023,6.3 / 10,"['Action', 'Comedy']"
Greedy People,2024,6.3 / 10,"['Action', 'Comedy']"
A View to a Kill,1985,6.3 / 10,"['Action', 'Adventure']"
[TA] Raayan,2024,6.3 / 10,"['Action', 'Drama']"
Boneyard,2024,6.3 / 10,"['Action', 'Crime']"
The Big Fat Quiz of Telly,2024,6.3 / 10,"['Comedy', 'Game-Show']"
[JA] Chime,2024,6.3 / 10,"['Horror', 'Thriller']"
Miracle at Sage Creek,2005,6.3 / 10,"['Action', 'Drama']"
The Living Daylights,1987,6.3 / 10,"['Action', 'Adventure']"
Smoking Tigers,2023,6.3 / 10,['Drama']
Ruby's Choice,2022,6.3 / 10,"['Comedy', 'Drama']"
[HI] Dobaaraa,2022,6.3 / 10,"['Drama', 'Fantasy']"
Desperado,1995,6.3 / 10,"['Action', 'Crime']"
Firecracker,2024,6.3 / 10,['Thriller']
The Sklar Brothers: What Are We Talking About,2014,6.3 / 10,['Comedy']
[HI] Singham Returns,2014,6.3 / 10,"['Action', 'Crime']"
My Divorce Party,2024,6.3 / 10,['Comedy']
Hell Hole,2024,6.3 / 10,['Horror']
Incoming,2024,6.3 / 10,['Comedy']
Place of Bones,2023,6.3 / 10,"['Drama', 'Thriller']"
[DA] When in Rome,2024,6.3 / 10,"['Drama', 'Romance']"
Consumed,2024,6.3 / 10,['Horror']
Hundreds of Beavers,2022,6.3 / 10,"['Action', 'Adventure']"
Talladega Nights: The Ballad of Ricky Bobby,2006,6.3 / 10,"['Action', 'Comedy']"
Art of Eight Limbs,2024,6.3 / 10,"['Action', 'Thriller']"
Camp,2023,6.3 / 10,"['Comedy', 'Drama']"
Klitschko: More Than a Fight,2024,6.3 / 10,"['Biography', 'Documentary']"
Redwood Highway,2013,6.3 / 10,['Drama']
Money Monster,2016,6.3 / 10,"['Action', 'Crime']"
[IT] Suspiria,1977,6.3 / 10,"['Action', 'Crime']"
The Clean Up Crew,2024,6.3 / 10,"['Action', 'Crime']"
[FR] The Green Deal,2024,6.3 / 10,['Drama']
[FR] The Good Teacher,2024,6.3 / 10,['Drama']
[FR] Une affaire de principe,2024,6.3 / 10,"['Drama', 'Thriller']"
[FR] Blind Man,2012,6.3 / 10,"['Action', 'Thriller']"
[JA] Sailor Moon Cosmos,2023,6.3 / 10,"['Action', 'Adventure']"
Empire of the Air: The Men Who Made Radio,1991,6.3 / 10,"['Documentary', 'History']"
Thomas Hart Benton,1989,6.3 / 10,"['Biography', 'Documentary']"
Gunner,2024,6.3 / 10,['Action']
Secret Lives of Orangutans,2024,6.3 / 10,['Documentary']
North of Normal,2022,6.3 / 10,['Drama']
Inside the Mind of a Dog,2024,6.3 / 10,['Documentary']
Green Fire,1954,6.3 / 10,"['Adventure', 'Drama']"
The Girl Who Cried Her Eyes Out,2024,6.3 / 10,['Horror']
Swan Song,2024,6.3 / 10,['Drama']
Shadowzone,1990,6.3 / 10,"['Horror', 'Sci-Fi']"
The Congress,1989,6.3 / 10,['Documentary']
[ID] Ronggeng Kematian,2024,6.3 / 10,['Horror']
[IT] The Most Beautiful Wife,1970,6.3 / 10,"['Crime', 'Drama']"
[JA] Gundam Wing: The Movie - Endless Waltz,1998,6.3 / 10,"['Action', 'Animation']"
Love in Wolf Creek,2022,6.3 / 10,['Romance']
Jackpot!,2024,6.3 / 10,"['Action', 'Comedy']"
A Reel Heist,2024,6.3 / 10,"['Action', 'Comedy']"
Bag Boy Lover Boy,2014,6.3 / 10,"['Comedy', 'Horror']"
That They May Face the Rising Sun,2023,6.3 / 10,['Drama']
Like Arrows,2018,6.3 / 10,['Drama']
The Watchers,2024,6.3 / 10,"['Action', 'Fantasy']"
Whitney Cummings: Money Shot,2010,6.3 / 10,"['Comedy', 'Documentary']"
Mike Birbiglia: My Girlfriend's Boyfriend,2013,6.3 / 10,['Comedy']
[TR] Kocami Kim Öldürür?,2023,6.3 / 10,['Action']
Back in the U.S.S.R.,1992,6.3 / 10,"['Crime', 'Drama']"
Polarized,2023,6.3 / 10,"['Drama', 'Romance']"
Brittany Schmitt: From Ho to Housewife,2022,6.3 / 10,['Comedy']
No Way to Spin It,2023,6.3 / 10,['Drama']
[TA] Mazhai Pidikatha Manithan,2024,6.3 / 10,['Action']
[IT] There's Still Tomorrow,2023,6.3 / 10,"['Comedy', 'Drama']"
Doctor Jekyll,2023,6.3 / 10,"['Drama', 'Horror']"
[ES] La noche que luché contra Dios,2024,6.3 / 10,['Drama']
Sound of Hope: The Story of Possum Trot,2024,6.3 / 10,['Drama']
Swan Song,2023,6.3 / 10,['Documentary']
[TE] EVOL: A Love Story in Reverse,2024,6.3 / 10,['Thriller']
Oddity,2024,6.3 / 10,"['Horror', 'Thriller']"
Matt Rife: Lucid - A Crowd Work Special,2024,6.3 / 10,"['Comedy', 'Documentary']"
The Real! Taylor Swift and Travis Kelce - Love Story or Anti-Hero?,2024,6.3 / 10,['Documentary']
[FR] Our History,1984,6.3 / 10,"['Action', 'Drama']"
Satan's Black Wedding,1976,6.3 / 10,['Horror']
[DE] Andrea Gets a Divorce,2024,6.3 / 10,"['Comedy', 'Drama']"
Kingdom of the Planet of the Apes,2024,6.3 / 10,"['Action', 'Adventure']"
Criminally Insane,1975,6.3 / 10,"['Horror', 'Thriller']"
[FR] Nice Girls,2024,6.3 / 10,"['Action', 'Comedy']"
The Union,2024,6.3 / 10,"['Action', 'Comedy']"
[TL] Elevator,2024,6.3 / 10,"['Comedy', 'Drama']"
Inside Out 2,2024,6.3 / 10,"['Adventure', 'Animation']"
[CN] Angel Terminators,1992,6.3 / 10,['Action']
[TR] Arda Turan: Confrontation,2024,6.3 / 10,['Documentary']
[JA] Chieri and Cherry,2015,6.3 / 10,['Animation']
Untold: The Murder of Air McNair,2024,6.3 / 10,"['Documentary', 'Sport']"
Langston Kerman: Bad Poetry,2024,6.3 / 10,"['Comedy', 'Documentary']"
Fine Lines,2019,6.3 / 10,"['Documentary', 'Sport']"
The Present,2024,6.3 / 10,['Comedy']
May December,2023,6.3 / 10,"['Comedy', 'Drama']"
National Anthem,2023,6.3 / 10,['Drama']
Road Wars: Max Fury,2024,6.3 / 10,"['Action', 'Adventure']"
Peter Five Eight,2024,6.3 / 10,"['Comedy', 'Drama']"
Sk8face,2024,6.3 / 10,['Documentary']
Marmalade,2024,6.3 / 10,"['Action', 'Comedy']"
The Savage Peace,2015,6.3 / 10,"['Documentary', 'History']"
Duchess,2024,6.3 / 10,"['Action', 'Crime']"
Harrison's Flowers,2000,6.3 / 10,"['Drama', 'Romance']"
Taken from Rio Bravo,2024,6.3 / 10,"['Action', 'Western']"
Lore,2023,6.3 / 10,['Horror']
Remembering Gene Wilder,2023,6.3 / 10,"['Biography', 'Documentary']"
The Last Deal,2023,6.3 / 10,"['Action', 'Crime']"
Popular Theory,2023,6.3 / 10,"['Adventure', 'Comedy']"
The Duel,2023,6.3 / 10,"['Action', 'Comedy']"
Black Mold,2023,6.3 / 10,"['Drama', 'Horror']"
[ML] Little Hearts,2024,6.3 / 10,"['Comedy', 'Drama']"
[GL] Stroking an Animal,2023,6.3 / 10,['Romance']
The Delta Force,1986,6.3 / 10,"['Action', 'Adventure']"
Beautiful Wedding,2024,6.3 / 10,"['Action', 'Comedy']"
Alpha and Omega: Journey to Bear Kingdom,2017,6.3 / 10,"['Adventure', 'Animation']"
Alpha and Omega: Journey to Bear Kingdom,2017,6.3 / 10,"['Adventure', 'Animation']"
[PA] Teriyaan Meriyaan Hera Pheriyan,2024,6.3 / 10,"['Comedy', 'Romance']"
[ML] Mandakini,2024,6.3 / 10,['Comedy']
Lunamancer,2021,6.3 / 10,"['Fantasy', 'Sci-Fi']"
[FR] Rosalie,2023,6.3 / 10,"['Drama', 'History']"
Hard Home,2024,6.3 / 10,['Thriller']
[GU] Trisha on the Rocks,2024,6.3 / 10,"['Comedy', 'Romance']"
Zodiac,2007,6.3 / 10,"['Action', 'Crime']"
[MR] Gharat Ganpati,2024,6.3 / 10,['Family']
The Frontrooms,2024,6.3 / 10,['Horror']
[ES] I Can't Live Without You,2024,6.3 / 10,"['Action', 'Comedy']"
"[FR] Hitler, connais pas",1963,6.3 / 10,['Documentary']
The Warrior Queen of Jhansi,2019,6.3 / 10,"['Action', 'Adventure']"
Summer Solstice,2023,6.3 / 10,"['Comedy', 'Drama']"
Dance First,2023,6.3 / 10,"['Biography', 'Drama']"
Crescent City,2024,6.3 / 10,"['Crime', 'Horror']"
On the Yard,1978,6.3 / 10,['Drama']
[ES] Volver,2006,6.3 / 10,"['Action', 'Comedy']"
[TL] Isang gabi,2024,6.3 / 10,['Drama']
Bill & Ted's Bogus Journey,1991,6.3 / 10,"['Action', 'Adventure']"
